Branch,pdate,BILLDATE,Nominal,days_late,kolektibilitas
4,2017-02-08,2016-12-29,1710900.0,-41,1
11,2017-10-11,2017-10-05,1039000.0,-6,1
2,2017-09-06,2017-08-29,3350305.0,-8,1
2,2017-09-06,2017-08-30,4543500.0,-7,1
10,2017-09-29,2017-03-13,-2990400.0,-200,4
2,2017-10-04,2017-09-12,-1543920.0,-22,1
8,2017-08-24,2017-07-26,-324640.0,-29,1
6,2017-06-19,2017-06-16,295000.0,-3,1
10,2017-07-06,2017-07-23,4172000.0,17,0
11,2017-07-15,2017-07-14,-27440250.0,-1,1
11,2017-07-15,2017-04-11,27440250.0,-95,2
4,2017-02-08,2016-12-30,618500.0,-40,1
11,2017-06-05,2017-06-12,4805000.0,7,0
11,2017-07-15,2017-04-21,26799000.0,-85,1
11,2017-07-15,2017-07-14,-26799000.0,-1,1
4,2017-02-08,2016-12-30,597000.0,-40,1
4,2017-02-08,2016-12-27,164200.0,-43,1
4,2017-02-08,2016-12-29,314222.0,-41,1
4,2017-03-31,2017-03-29,3029000.0,-2,1
7,2018-02-15,2018-02-15,3508000.0,0,0
12,2018-03-01,2018-02-28,70297000.0,-1,1
8,2018-02-14,2017-09-30,6015685.0,-137,3
8,2017-02-14,2017-01-20,101350.0,-25,1
15,2018-01-31,2018-01-31,6511000.0,0,0
2,2018-02-08,2017-08-12,3182500.0,-180,3
7,2018-02-15,2018-02-07,229000.0,-8,1
7,2018-02-15,2018-01-31,206500.0,-15,1
2,2018-02-08,2018-01-11,1648000.0,-28,1
4,2017-02-08,2017-01-03,1131300.0,-36,1
4,2017-02-08,2017-01-03,767400.0,-36,1
4,2017-02-08,2017-01-04,1076800.0,-35,1
4,2017-02-08,2017-01-23,-1400.0,-16,1
4,2017-02-08,2017-01-06,-310224.0,-33,1
4,2017-02-08,2017-01-23,-136870.0,-16,1
4,2017-02-08,2017-01-23,-353647.0,-16,1
6,2017-02-08,2017-01-20,2780763.0,-19,1
6,2017-02-08,2017-02-02,3231000.0,-6,1
16,2018-01-05,2018-01-28,21023600.0,23,0
3,2017-02-07,2017-01-24,3096920.0,-14,1
3,2017-02-07,2017-02-01,100680.0,-6,1
2,2017-02-08,2016-12-05,720000.0,-65,1
6,2017-02-08,2016-09-26,10268500.0,-135,3
3,2017-02-03,2017-01-25,3469000.0,-9,1
3,2017-02-06,2017-01-31,3119000.0,-6,1
3,2017-02-03,2016-12-16,24170025.0,-49,1
17,2017-12-19,2017-10-22,77900.0,-58,1
11,2017-12-14,2017-12-14,535000.0,0,0
13,2017-11-21,2017-11-16,-1125464.0,-5,1
13,2017-11-21,2017-11-13,1125464.0,-8,1
2,2017-10-26,2017-10-16,3781000.0,-10,1
2,2017-10-26,2017-10-16,3700338.0,-10,1
8,2017-10-26,2017-10-23,1387600.0,-3,1
8,2017-10-26,2017-10-23,1387600.0,-3,1
2,2017-10-26,2017-10-08,2514250.0,-18,1
2,2017-10-26,2017-10-11,2514250.0,-15,1
13,2017-10-05,2017-10-03,3639000.0,-2,1
9,2017-09-28,2017-09-28,7501000.0,0,0
2,2017-10-04,2017-09-15,-3416696.0,-19,1
3,2017-09-25,2017-10-12,5409626.0,17,0
3,2017-09-25,2017-10-12,7515531.0,17,0
5,2017-10-10,2017-09-28,11728500.0,-12,1
12,2017-09-11,2017-07-21,225000.0,-52,1
12,2017-09-11,2017-06-20,1849525.0,-83,1
12,2017-09-11,2017-07-21,200000.0,-52,1
12,2017-09-11,2017-07-21,150000.0,-52,1
12,2017-09-11,2017-07-21,225000.0,-52,1
12,2017-09-11,2017-07-21,225000.0,-52,1
12,2017-09-11,2017-06-20,2431750.0,-83,1
12,2017-09-11,2017-06-20,1313710.0,-83,1
12,2017-09-11,2017-06-20,3201820.0,-83,1
12,2017-09-11,2017-06-20,2171500.0,-83,1
12,2017-09-11,2017-06-20,1291575.0,-83,1
12,2017-09-11,2017-07-21,150000.0,-52,1
12,2017-09-11,2017-06-20,1444075.0,-83,1
12,2017-09-11,2017-07-21,200000.0,-52,1
12,2017-09-11,2017-06-20,2019100.0,-83,1
3,2017-09-14,2017-07-31,5350000.0,-45,1
3,2017-08-28,2017-07-19,5395266.0,-40,1
16,2017-08-16,2017-09-01,4283500.0,16,0
16,2017-08-16,2017-09-01,2671000.0,16,0
16,2017-08-16,2017-09-01,1375000.0,16,0
9,2017-08-11,2017-07-21,308650.0,-21,1
